PersonID,Age,Income,Home,EmpLength,Intent,Grade,Amount,Rate,Status,PercentIncome,DefaultHist,CredHist,Age_Group,Income_Group,Loan_Burden
PER_00115,24,225000.0,RENT,0.0,MEDICAL,B,6000.0,10.99,0,0.03,N,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00116,24,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500.0,11.83,1,0.35,N,4,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00117,23,12996.0,OWN,0.0,DEBTCONSOLIDATION,C,2400.0,13.49,1,0.18,Y,2,18-25,LOW INCOME,SAFE (<20%)
PER_00119,26,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,1,0.52,N,4,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00120,25,12996.0,OWN,1.0,MEDICAL,D,3600.0,14.59,1,0.28,N,3,18-25,LOW INCOME,WARNING (20-30%)
PER_00121,22,12996.0,OWN,1.0,EDUCATION,B,4750.0,10.99,1,0.37,N,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00122,25,42360.0,RENT,1.0,EDUCATION,E,25000.0,16.35,1,0.59,Y,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00124,25,225000.0,MORTGAGE,0.0,VENTURE,F,25000.0,18.67,0,0.11,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00125,26,225000.0,RENT,1.0,EDUCATION,A,3000.0,9.32,0,0.01,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00127,26,225000.0,MORTGAGE,2.0,VENTURE,B,25000.0,10.08,0,0.11,N,2,26-40,HIGH INCOME,SAFE (<20%)
PER_00129,23,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,1,0.5,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00130,25,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,1,0.5,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00131,24,44000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,15.33,1,0.57,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00132,23,50000.0,RENT,1.0,VENTURE,B,25000.0,11.83,1,0.5,N,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00133,22,50004.0,RENT,0.0,VENTURE,B,25000.0,10.36,1,0.5,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00134,22,50004.0,RENT,3.0,VENTURE,C,25000.0,12.23,1,0.5,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00135,22,52000.0,RENT,2.0,EDUCATION,B,25000.0,11.11,1,0.48,N,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00136,23,13200.0,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,1,0.38,N,4,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00137,24,220000.0,MORTGAGE,1.0,EDUCATION,B,25000.0,11.58,0,0.11,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00138,23,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,0,0.1,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00139,25,216000.0,MORTGAGE,2.0,EDUCATION,D,25000.0,16.07,0,0.12,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00143,23,52000.0,RENT,1.0,PERSONAL,C,25000.0,13.22,1,0.48,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00144,26,46000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,11.86,1,0.54,N,4,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00146,26,47000.0,RENT,0.0,HOMEIMPROVEMENT,D,25000.0,15.28,1,0.53,Y,2,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00147,23,47000.0,RENT,1.0,VENTURE,E,25000.0,17.93,1,0.53,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00148,23,13200.0,MORTGAGE,2.0,EDUCATION,B,1400.0,9.25,0,0.11,N,4,18-25,LOW INCOME,SAFE (<20%)
PER_00152,26,48000.0,RENT,5.0,VENTURE,F,25000.0,18.43,1,0.52,N,2,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00154,24,55000.0,RENT,4.0,HOMEIMPROVEMENT,D,25000.0,15.31,1,0.45,Y,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00155,23,55000.0,RENT,4.0,EDUCATION,B,25000.0,11.36,1,0.45,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00156,23,55000.0,RENT,4.0,EDUCATION,D,25000.0,15.65,1,0.45,Y,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00158,26,56000.0,RENT,4.0,DEBTCONSOLIDATION,C,25000.0,12.87,1,0.45,N,2,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00160,23,190000.0,MORTGAGE,5.0,EDUCATION,F,22000.0,17.58,1,0.12,Y,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00161,23,13920.0,OWN,2.0,PERSONAL,E,7750.0,17.04,1,0.56,N,4,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00162,24,60000.0,RENT,0.0,PERSONAL,B,25000.0,10.99,1,0.42,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00163,24,60000.0,RENT,2.0,PERSONAL,B,25000.0,11.11,1,0.42,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00164,26,54000.0,RENT,7.0,DEBTCONSOLIDATION,D,25000.0,14.83,1,0.46,Y,2,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00165,23,14000.0,OWN,2.0,DEBTCONSOLIDATION,D,4000.0,15.31,1,0.29,N,3,18-25,LOW INCOME,WARNING (20-30%)
PER_00169,25,54000.0,RENT,3.0,HOMEIMPROVEMENT,E,25000.0,16.82,1,0.46,N,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00170,23,60000.0,RENT,3.0,PERSONAL,C,25000.0,12.73,1,0.42,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00174,22,56400.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,14.96,1,0.44,Y,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00176,21,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000.0,13.99,0,0.13,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00177,24,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,0,0.12,N,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00178,26,200000.0,MORTGAGE,4.0,EDUCATION,C,15000.0,14.79,0,0.07,N,3,26-40,HIGH INCOME,SAFE (<20%)
PER_00179,25,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500.0,11.99,0,0.08,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00181,24,66000.0,RENT,3.0,EDUCATION,B,25000.0,9.91,1,0.38,N,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00185,25,200000.0,RENT,5.0,EDUCATION,D,18000.0,16.32,0,0.09,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00186,25,200000.0,MORTGAGE,2.0,VENTURE,B,12000.0,10.38,0,0.06,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00189,24,60000.0,RENT,2.0,DEBTCONSOLIDATION,E,25000.0,16.795,1,0.42,Y,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00192,23,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,1,0.37,N,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00193,24,67000.0,RENT,2.0,VENTURE,B,25000.0,10.99,1,0.37,N,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00194,24,68000.0,RENT,5.0,PERSONAL,D,25000.0,14.09,1,0.37,Y,3,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00196,25,200000.0,MORTGAGE,0.0,EDUCATION,B,12000.0,11.48,0,0.06,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00198,26,200000.0,MORTGAGE,4.0,PERSONAL,C,3000.0,13.92,0,0.01,N,3,26-40,HIGH INCOME,SAFE (<20%)
PER_00200,22,14400.0,OWN,2.0,MEDICAL,B,4000.0,10.99,1,0.28,N,3,18-25,LOW INCOME,WARNING (20-30%)
PER_00201,24,70000.0,RENT,3.0,EDUCATION,B,25000.0,11.86,1,0.36,N,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00202,24,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,1,0.42,N,3,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00205,26,66000.0,RENT,3.0,HOMEIMPROVEMENT,B,25000.0,11.58,1,0.38,N,4,26-40,MEDIUM INCOME,HIGH RISK (>30%)
PER_00206,25,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,1,0.37,N,2,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00208,23,74000.0,RENT,3.0,MEDICAL,B,25000.0,10.36,1,0.34,N,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00210,24,192000.0,RENT,0.0,MEDICAL,C,22000.0,13.48,0,0.11,Y,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00212,25,191000.0,MORTGAGE,1.0,MEDICAL,B,10000.0,12.53,0,0.05,N,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00213,26,190300.0,MORTGAGE,5.0,PERSONAL,A,15000.0,7.49,0,0.08,N,3,26-40,HIGH INCOME,SAFE (<20%)
PER_00214,22,190000.0,MORTGAGE,3.0,VENTURE,C,10000.0,13.48,0,0.05,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00215,24,75000.0,RENT,4.0,EDUCATION,B,25000.0,10.25,1,0.33,N,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00216,22,71000.0,RENT,1.0,EDUCATION,D,25000.0,15.95,1,0.35,Y,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00217,26,190000.0,MORTGAGE,3.0,VENTURE,B,20000.0,12.18,0,0.11,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00218,23,189996.0,OWN,0.0,PERSONAL,B,24000.0,11.83,0,0.13,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00220,23,78000.0,RENT,1.0,VENTURE,B,25000.0,10.62,1,0.32,N,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00224,25,185000.0,RENT,6.0,VENTURE,C,15000.0,15.27,0,0.08,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00229,24,79632.0,RENT,0.0,EDUCATION,C,25000.0,13.35,1,0.31,N,4,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00231,24,80000.0,RENT,6.0,EDUCATION,A,25000.0,6.62,1,0.31,N,2,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00232,26,80000.0,RENT,5.0,DEBTCONSOLIDATION,C,25000.0,13.61,1,0.31,N,4,26-40,HIGH INCOME,HIGH RISK (>30%)
PER_00233,22,185000.0,RENT,4.0,MEDICAL,B,25000.0,11.36,0,0.14,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00236,23,184000.0,OWN,5.0,EDUCATION,B,2500.0,11.83,0,0.01,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00237,24,172000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000.0,13.47,1,0.12,Y,4,18-25,HIGH INCOME,SAFE (<20%)
PER_00238,24,183000.0,MORTGAGE,2.0,MEDICAL,B,20000.0,11.49,0,0.11,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00239,22,183000.0,MORTGAGE,3.0,EDUCATION,A,1000.0,7.49,0,0.01,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00243,25,81000.0,RENT,5.0,DEBTCONSOLIDATION,A,25000.0,7.29,1,0.31,N,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00244,23,81600.0,RENT,1.0,MEDICAL,B,25000.0,11.36,1,0.31,N,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00246,24,83000.0,RENT,5.0,EDUCATION,B,25000.0,11.12,0,0.3,N,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00247,24,83000.0,RENT,5.0,PERSONAL,D,25000.0,12.92,0,0.3,Y,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00250,23,14400.0,OWN,2.0,HOMEIMPROVEMENT,E,4000.0,16.7,1,0.28,N,2,18-25,LOW INCOME,WARNING (20-30%)
PER_00251,22,14400.0,OWN,0.0,PERSONAL,B,2100.0,11.14,0,0.15,N,4,18-25,LOW INCOME,SAFE (<20%)
PER_00253,24,85000.0,RENT,5.0,MEDICAL,B,25000.0,10.62,0,0.29,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00255,26,180000.0,MORTGAGE,2.0,VENTURE,B,12000.0,9.63,0,0.07,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00257,23,14664.0,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000.0,13.48,1,0.41,N,4,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00259,24,75000.0,RENT,0.0,VENTURE,E,25000.0,14.7,1,0.33,Y,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00261,23,66215.0,RENT,1.0,MEDICAL,D,25000.0,15.37,1,0.32,Y,2,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00263,21,15000.0,OWN,0.0,HOMEIMPROVEMENT,A,6200.0,7.9,1,0.41,N,2,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00264,26,180000.0,OWN,2.0,PERSONAL,B,25000.0,10.99,0,0.14,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00267,26,180000.0,OWN,0.0,HOMEIMPROVEMENT,A,10000.0,8.0,0,0.06,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00268,25,180000.0,MORTGAGE,3.0,VENTURE,B,9950.0,11.26,0,0.06,N,2,18-25,HIGH INCOME,SAFE (<20%)
PER_00270,23,78000.0,RENT,2.0,VENTURE,D,25000.0,16.32,1,0.32,Y,3,18-25,HIGH INCOME,HIGH RISK (>30%)
PER_00271,25,66300.0,RENT,3.0,MEDICAL,E,25000.0,17.93,1,0.32,Y,4,18-25,MEDIUM INCOME,HIGH RISK (>30%)
PER_00272,23,90000.0,RENT,0.0,DEBTCONSOLIDATION,B,25000.0,11.36,0,0.28,N,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00274,24,91800.0,RENT,4.0,PERSONAL,C,25000.0,13.43,0,0.27,Y,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00275,25,92000.0,RENT,6.0,HOMEIMPROVEMENT,B,25000.0,12.69,0,0.27,N,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00276,24,92000.0,RENT,1.0,VENTURE,C,25000.0,12.73,0,0.27,Y,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00277,23,93600.0,RENT,3.0,VENTURE,D,25000.0,15.21,0,0.27,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00278,23,15000.0,MORTGAGE,1.0,MEDICAL,C,1750.0,12.68,0,0.12,Y,3,18-25,LOW INCOME,SAFE (<20%)
PER_00279,23,70550.0,RENT,3.0,MEDICAL,F,25000.0,19.04,1,0.3,Y,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00280,25,83800.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,15.95,1,0.3,Y,3,18-25,HIGH INCOME,WARNING (20-30%)
PER_00281,26,175000.0,MORTGAGE,3.0,VENTURE,A,2600.0,8.9,0,0.01,N,4,26-40,HIGH INCOME,SAFE (<20%)
PER_00285,23,15000.0,OWN,4.0,DEBTCONSOLIDATION,C,4000.0,13.98,1,0.27,N,4,18-25,LOW INCOME,WARNING (20-30%)
PER_00286,23,15000.0,OWN,4.0,VENTURE,B,4600.0,10.99,1,0.31,N,2,18-25,LOW INCOME,HIGH RISK (>30%)
PER_00288,25,74800.0,RENT,2.0,MEDICAL,B,25000.0,10.99,1,0.28,N,2,18-25,HIGH INCOME,WARNING (20-30%)
PER_00289,25,88000.0,RENT,0.0,VENTURE,D,25000.0,14.96,1,0.28,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00290,25,15000.0,OWN,2.0,HOMEIMPROVEMENT,D,1750.0,15.31,0,0.12,Y,4,18-25,LOW INCOME,SAFE (<20%)
PER_00291,26,88000.0,RENT,2.0,VENTURE,D,25000.0,15.65,1,0.28,N,3,26-40,HIGH INCOME,WARNING (20-30%)
PER_00292,25,100000.0,RENT,1.0,VENTURE,B,25000.0,9.33,0,0.25,N,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00293,23,15000.0,MORTGAGE,0.0,PERSONAL,C,3600.0,13.47,1,0.24,N,4,18-25,LOW INCOME,WARNING (20-30%)
PER_00295,24,92000.0,RENT,1.0,HOMEIMPROVEMENT,E,25000.0,16.77,1,0.27,Y,4,18-25,HIGH INCOME,WARNING (20-30%)
PER_00296,23,93000.0,RENT,0.0,DEBTCONSOLIDATION,D,25000.0,14.59,1,0.27,Y,2,18-25,HIGH INCOME,WARNING (20-30%)
PER_00298,23,175000.0,MORTGAGE,3.0,EDUCATION,A,7200.0,8.38,0,0.04,N,3,18-25,HIGH INCOME,SAFE (<20%)
PER_00300,25,174000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800.0,14.27,0,0.05,N,3,18-25,HIGH INCOME,SAFE (<20%)
